Name,URL,Photo,Description,Members
Atlanta Web Technology Group,https://www.meetup.com/AtlantaWTG/,https://secure.meetupstatic.com/photos/event/6/d/1/1/600_25587921.jpeg,"We are a 501(c)(3) non-profit organization that is dedicated to the education and discussion of web and mobile technologies. We are the oldest continuous running technology user group in Atlanta, and membership is completely FREE.",3279
Atlanta Tech & Entertainment - Workshops & Competitions,https://www.meetup.com/ATT-Atlanta-Tech-Entertainment/,https://secure.meetupstatic.com/photos/event/b/0/2/b/600_460425099.jpeg,"High quality, free technology and entertainment workshops and competitions by AT&T

AT&T only holds a few technology and entertainment-oriented workshops and competitions each year in your area, so you won't get a lot of messages from us. But join this meetup and when we do you'll be the first to know when we’re coming to XX!

In addition to the quality developer-oriented workshops and hackathons we are already known for we are adding workshops and competitions on filmmaking, virtual reality, and other entertainment-oriented subjects.

We look forward to seeing you!",3279
Data Science ATL,https://www.meetup.com/Data-Science-ATL/,https://secure.meetupstatic.com/photos/event/1/e/5/c/600_337567772.jpeg,"A gathering of current and aspiring Data Science practitioners. We focus on practical applications of exploratory data analysis, statistics, machine learning and data visualization to solve interesting problems in any field.

Interested Speakers and Sponsors - please use this form: Speaker / Sponsor Form (https://goo.gl/forms/TzQRKfOkZsDujCyw2)

Videos from previous events: http://vimeo.com/dsatl or https://www.recallact.com/dsatl

Also, donate to Data Science ATL with bitcoin using the QR code in our logo!",3235
The Atlanta iOS Developers,https://www.meetup.com/iosatlanta/,https://secure.meetupstatic.com/photos/event/9/d/0/0/600_452980192.jpeg,"This group is dedicated to people developing native applications for the Apple iPhone, iPad, iPod Touch or any iOS device (including Mac apps).

Membership is free. If you would like to give back, please consider presenting on something you are passionate about it interested in. As a business who values this community, we'd love to have your support as well. Time and people are more valuable than money so be creative

Please see our meeting events for more information as to what, when and where.

If you live or work in the North Atlanta suburbs, check out the North Atlanta iOS Developers Group (http://www.meetup.com/Greater-Atlanta-iOS-Developers-Group/) but please join our community, as well, and stay abreast of the events, discussions, community and technology happening in-town.

We're glad your here. Don't just ride the wave, make a splash.

Email list policy:

Jobs: To post gigs, jobs or availability, please use our Google Group: https://groups.google.com/d/forum/atlanta-ios-gigs (atlanta-ios-gigs@googlegroups.com)

The message board / mailing list on meet up is strictly for advice and discussion about developing apps. Any aspect of app development, including business topics, is fair game. Recruiting for or seeking opportunities is definitely part of our goal as a developer group but we have to be careful not to let that interfere with other valuable interactions. Therefore, job posts to the technical mailing list will be deleted and may result in being banned. We would rather not ban you, so don't do it :)",3229
Atlanta WordPress Users Group,https://www.meetup.com/wordpress-atlanta/,https://secure.meetupstatic.com/photos/event/4/e/5/5/600_447200053.jpeg,"This group is the oldest and largest Atlanta WordPress Meetup.

It is usually held 7:00pm, once a month at The Gathering Spot. Check the calendar for details.

We have one or two presentations depending on the degree of complexity of the topic. The presentations are designed for beginners and/or intermediates to learn to build, customize,and maintain WordPress websites.

We will also cover plugins as well as how to address business uses such as e-commerce, membership sites and supporting multiple languages. Bring your questions about your WordPress project.

We include time for refreshments, networking and trouble shooting.",3089
Atlanta Mobile Developers Group,https://www.meetup.com/Atlanta-Mobile-Developers-Group/,"",The Atlanta Mobile Developers Group is a group of individuals that are involved with or interested in the area mobile development & technology.,2984
The Online ColdFusion Meetup,https://www.meetup.com/coldfusionmeetup/,https://secure.meetupstatic.com/photos/event/7/8/9/3/600_210867.jpeg,"The Online ColdFusion Meetup, hosted since early 2007 by Charlie Arehart, has held 250 presentations by several dozen speakers on CF-related topics (and non-CF topics that may be of interest to CFers). CF users from anywhere are free to attend. Become a member here (free, joining 2,700+ others) to get notified of new meetings, optionally participate in ratings and discussions, and more.

The ColdFusion Meetup is an online ColdFusion/CFML user group which meets irregularly, as speakers can be arranged, generally at time slots on a Thursday of either noon or 6pm US Eastern time. See below for info on any scheduled upcoming talks.

All meetings are held at the URL, https://experts.adobeconnect.com/cfmeetup . Use the option there to ""log in as guest"", enter your name, and wait until just before the meeting starts to be let in.

Meetings are recorded and the URLs are posted (usually within a day of the meeting) at http://recordings.coldfusionmeetup.com . You can also see a list all our past meetings here: http://www.meetup.com/coldfusionmeetup/events/past/ .

Finally, for still more information, see the ""about page"" (http://www.meetup.com/coldfusionmeetup/about/) for things like speaking on the meetup, other ways to get meeting notifications, and more.",2785
Atlanta Scrum Users Group,https://www.meetup.com/agile-38/,https://secure.meetupstatic.com/photos/event/c/1/8/6/600_337969542.jpeg,"Meet local professionals interested in Agile/Scrum methods of software development.

Follow us on twitter: @scrumatlanta",2739
Women Who Code Atlanta,https://www.meetup.com/Women-Who-Code-Atlanta/,https://secure.meetupstatic.com/photos/event/a/7/e/9/600_451362985.jpeg,"Follow us! @WWCAtl (http://twitter.com/wwcatl) #wwcode FB: Women Who Code (http://fb.com/womenwhocode)

womenwhocode.com/atl

Mission:

Women Who Code is a global nonprofit organization dedicated to inspiring women to excel in technology careers by creating a global, connected community of women in technology. The organization tripled in 2013 and has grown to be one of the largest communities of women engineers in the world.

Empowerment:

Women Who code is a professional community for women in tech. We provide an avenue for women to pursue a career in technology, help them gain new skills and hone existing skills for professional advancement, and foster environments where networking and mentorship are valued.

Key Initiatives:

Free technical study groups

Events featuring influential tech industry experts and investors

Hack events

Career and leadership development

Current and aspiring coders are welcome.

Bring your laptop and a friend!

Support Women Who Code:

Donating to Women Who Code (http://womenwhocode.com/donate), Inc. (#46-4218859) directly impacts our ability to efficiently run this growing organization, helps us produce new programs that will increase our reach, and enables us to expand into new cities around the world ensuring that women and girls everywhere have the opportunity to pursue a career in technology.

Women Who Code (WWCode) is dedicated to providing an empowering experience for everyone who participates in or supports our community, regardless of gender, gender identity and expression, sexual orientation, ability, physical appearance, body size, race, ethnicity, age, religion, or socioeconomic status. Because we value the safety and security of our members and strive to have an inclusive community, we do not tolerate harassment of members or event participants in any form. Our Code of Conduct (https://github.com/WomenWhoCode/guidelines-resources/blob/master/code_of_conduct.md) applies to all events run by Women Who Code, Inc. If you would like to report an incident or contact our leadership team, please submit an incident report form (https://docs.google.com/forms/d/1NuBY_E2DcuJx2wtKFXyS5ZY5zZlql4jcZJqsf0sAs-0/viewform).

WomenWhoCode.com (http://womenwhocode.com/)

email: atlanta@womenwhocode.ocm (atlanta@womenwhocode.com)

Join our slack group (https://wwcatl.typeform.com/to/WKy2an) to connect with members!

Twitter (http://twitter.com/womenwhocode) | Facebook (https://www.facebook.com/WWCATL/) | Instagram (https://www.instagram.com/wwc_atl/) | Newsletter (http://womenwhocode.us13.list-manage1.com/subscribe?u=291547022100dd62571bd36db&id=aca4b91da8) | Blog (http://womenwhocode.com/blog)",2608
Learn to Code | Thinkful Atlanta,https://www.meetup.com/Atlanta-Tech-Talent-Pipeline/,https://secure.meetupstatic.com/photos/event/e/2/e/9/600_462358089.jpeg,"Want to learn to code but don’t know where to start? This meetup was created to help people in Atlanta learn to code and gain new skills in web development and data science. Join us weekdays at 6:30pm for free workshops, info sessions, tech talks, and happy hours focused on building new skills and growing your career. Our events are well-suited for both beginners learning to code as well as intermediate developers or data scientists looking to level-up. We're proud to be sponsored by Thinkful Atlanta (https://www.thinkful.com/bootcamp/atlanta/?aff=meetup), the #1 rated coding bootcamp on CourseReport, who contributes a team of experienced mentors and career coaches to help out at events.

Workshops: hands-on, group classes teach everything from full-stack web development to intro concepts in data science. The workshops are taught by Thinkful mentors, each of whom have years of experience teaching people to code.

Tech Talks: led by experts in their field, these are meant to dive deeper into a specific topic. For example, you'll learn about how to build a great portfolio, how to break into the Atlanta tech scene, and how market yourself.

Happy Hours: is there better way to talk about all things Atlanta tech than over drinks and snacks? Come joins at one of our Atlanta locations to network, learn, and most importantly have fun.

Info sessions: If you’re interested in learning more about Thinkful’s specific courses, these are the events for you! You’ll learn more about the mentorship program, career services, curriculum, and how job placement works.

For anyone looking to become a web developer or data scientist, check out Thinkful Atlanta's Flexible Web Development (https://www.thinkful.com/bootcamp/web-development/flexible/?aff=meetup), Full time Web Development Bootcamp (https://www.thinkful.com/bootcamp/web-development/full-time/), or Flexible Data Science Bootcamp (https://www.thinkful.com/bootcamp/data-science/flexible/?aff=meetup).",2579
Tech Talent South - Atlanta,https://www.meetup.com/Tech-Talent-South-Atlanta/,https://secure.meetupstatic.com/photos/event/d/9/0/1/600_445915553.jpeg,"Welcome to Tech Talent South Atlanta! Here you can find information about TTS hosted events, alumni updates, and information on how Tech Talent South is empowering folks to do BIG things!

Tech Talent South's (www.techtalentsouth.com) mission is to develop more tech talent in the South through immersive beginner-focused programs teaching web development and computer programming. We want to do our part to help put Atlanta on the map as the next big tech hub and empower creative thinkers in the area with the skills they need to drive innovation. In addition to offering kids coding camps throughout the Southeast, Tech Talent South offers 8-week Code Immersion Program for adults in the Atlanta area.

In our Code Immersion Program, we teach the following:

· Ruby on Rails

· Domain Modeling

· HTTP and ""RESTful"" Design

· HTML/CSS

· Javascript and AJAX

· How to utilize APIs

Students come out of our program with a tremendous foundation in web development and the know-how to code, design, and ship dynamic database-backed web applications. Creative thinkers and entrepreneurs are empowered with the skills to quickly develop their ideas and push them live to the web.

We are always looking for passionate, persistent, and creative people looking to do something BIG in Atlanta. If that sounds like you, check out our website to learn more.",2535
Art in Tech Atlanta,https://www.meetup.com/Art-in-Tech-Atlanta/,https://secure.meetupstatic.com/photos/event/b/3/8/6/600_458385958.jpeg,"Simply, our meetup aims to fuse the world of art and the world of tech.

This comes in a variety of forms that leverages all aspects of STEAM (Science, Technology, Engineering, Art, and Math) and creates novel connections between them. If you find yourself in any of these fields craving collaboration with like-minded (or other brained) people, this meetup is for you.

Art made with code, architecture created from musical notation, paintings by robot dogs, all this and much more can be expected to be talked about and worked on at our meetups. Because Atlanta is rapidly growing in both tech startups and artistic ventures (music and film being the most acknowledged), we are in a unique place as a city to position ourselves to be some of the most innovative in the realm of ""FutureArt"". We'll try to keep a healthy mix of discussion/sharing and workshop styled meetups, as we know this is a new field for most, and we can all benefit from each others varied experiences.",2477
IxDA Atlanta,https://www.meetup.com/ixdaatlanta/,https://secure.meetupstatic.com/photos/event/8/e/d/a/600_466176570.jpeg,"IxDA Atlanta is the local chapter of the Interaction Design Association. Since 2009, we've put on design slams, socials, film screenings, UX show & tells, and hosted local and national speakers from the professional and academic communities. If you're into user experience, design, technology, strategy, or just want to learn more, we invite you to join the conversation.

Join us on slack at http://www.ixdaatlanta.org/slack .",2471
Code for Atlanta,https://www.meetup.com/codeforatlanta/,https://secure.meetupstatic.com/photos/event/d/0/e/f/600_451613487.jpeg,"We invite technologists of all stripes -- coders, designers, data scientists, product managers, and more -- to join our all-volunteer efforts to make Atlanta a better place. Anyone can lead a civic-minded, social good project. We welcome partnerships with local non-profits and government agencies on projects that serve the public and engage with all of metro Atlanta's communities.",2460
Atlanta Ruby Meetup Group,https://www.meetup.com/atlantaruby/,https://secure.meetupstatic.com/photos/event/a/a/d/c/600_450943740.jpeg,"ATLRUG is a non-profit organization of individuals interested in developing, promoting, fostering, strengthening, and improving the Ruby programming language and Ruby community.

Meetings are held on the 2nd Wednesday of every month.

http://www.atlrug.com

To learn more about our goals and expectations for members, read our Code of Conduct (https://github.com/atlrug/CoC).",2446
Learn Code in Atlanta (Study Groups),https://www.meetup.com/Atlanta-FlatironSchool/,https://secure.meetupstatic.com/photos/event/e/9/e/b/600_448379883.jpeg,"Learn to love code with learn.co! Whether you're brand new and have no programming experience or are already pursuing a career change to software development, get some in-person support from others by attending these study groups. Remember to bring your laptop and a charger!",2412
Girl Develop It Atlanta,https://www.meetup.com/Girl-Develop-It-Atlanta/,https://secure.meetupstatic.com/photos/event/9/c/e/e/600_446500174.jpeg,"Want to learn how to code? Have a great idea? Don't be shy. Develop it.

At Girl Develop It, our goal is to empower and assist women interested in getting into and advancing in the tech industry.

Our courses will focus on teaching modern development best practices and having something to show for it (ie. a sweet website, a native mobile app, a browser based game, a network of industry experts, or even a stellar résumé).

A limited number of scholarships are available for those with a financial hardship. To apply, click here (https://docs.google.com/forms/d/1tQeFIvqNbBOtOt2mRJSVQDqOUbz7PFeMJDzq_mKTkT8/viewform?usp=send_form). Scholarship applicants will be notified shortly after the deadline. Class capacity does not impact scholarship students. Check out this info sheet (https://drive.google.com/a/girldevelopit.com/file/d/0B344HUnWO0EhOFI4SmpWVjE2Yms) about getting course fees covered by your employer.

Want to Volunteer?

We'd love to have you involved in Girl Develop It! Please fill out this brief form (http://goo.gl/forms/aFDaFYag9P).

Want to learn more about the Atlanta Chapter? Feel free to follow us (and tag us) through our social channels below:

• Blog (https://girldevelopitatlanta.wordpress.com)

• Facebook: Girl Develop It Atlanta (https://www.facebook.com/GDIAtlanta?ref=hl)

• Twitter: @GDIAtlanta (https://twitter.com/GDIAtlanta)

• Instagram (http://instagram.com/GDI_Atlanta)

• LinkedIn Group (https://www.linkedin.com/groups/8436954)

As always, thank you for supporting Girl Develop It on our mission to make software development easy, affordable and accessible to all women. Your contribution (http://girldevelopit.com/donate) helps us expand our mission to create great programs and opportunities for women learning to code.

Note: Girl Develop It welcomes all genders and identities to our classroom. By entering this group, all community members agree to abide by our Code of Conduct (https://www.girldevelopit.com/code-of-conduct).",2322
Nerd Fun - Atlanta,https://www.meetup.com/nerdfunatlanta/,https://secure.meetupstatic.com/photos/event/4/5/a/8/600_466037832.jpeg,"Let's get together and check out museums, cinema, music, lectures, festivals and all things interesting. It's a great way to meet new people and socialize with your fellow brainiacs.

There's so much going on in this city.

Join this group if:

You like learning things, going to museums, science lectures, and you can't get your regular crew to go with you.

Perhaps you went to engineering school, but you use hair conditioner anyway.

You're intelligent and you have social skills, even though you might have a video game or two (or three) on your hard drive.

If you're willing to let your geek flag fly, please join us. Event suggestions encouraged.

And, if there's something you want to go to that our organizers can't make, we can post the event anyway to rally the Nerd Herd to keep you company. Just let us know.

Welcome.

Hair conditioner optional.

The Nerd Fun Creed:

* Nerds RSVP ""yes"" only when they're sure they can show - 'cuz Nerds are wicked smart and are able to plan ahead reliably - Nerds don't let their fellow nerds down.
* Nerds also know how to set up email filters so they can handle the quantity of email that meetup produces. ;-)
* And lastly, organizers have the right to disallow you from coming to an event if they can't see a photo of you on your profile page.

Do you consider yourself a ""NERD"".

The Urban Dictionary (http://www.urbandictionary.com/define.php?t... (http://www.urbandictionary.com/define.php?term=Nerd))

defines Nerd as:

1. One whose IQ exceeds his weight.

2. An individual persecuted for his superior skills or intellect, most often by people who fear and envy him.

3. An 'individual', i.e. a person who does not conform to society's beliefs that all people should follow trends and do what their peers do. Often highly intelligent but socially rejected because of their obsession with a given subject, technology, fandom, cosplay, sci-fi/fantasy.

Correct usage of the adjective in a sentence:
""Nerds are clearly superior to us in every way.. Let's worship them as our Gods""",2250
Cloud Computing Atlanta,https://www.meetup.com/acloud/,https://secure.meetupstatic.com/photos/event/1/9/2/0/600_101406432.jpeg,"A gathering place and forum for discussion of all things related to Cloud Computing. Originally, the ""AWSome Atlanta"" group (with a focus on Amazon Web Services), this group has become the vendor-neutral (but vendor-friendly) braintrust of the Atlanta Cloud Computing community, rife with architects, developers, engineers, consultants, salesfolks and newbies alike! Come join us, and take part in the (r)evolution that is Cloud Computing!",2217
DevOpsATL,https://www.meetup.com/DevOpsATL/,https://secure.meetupstatic.com/photos/event/1/9/0/600_446940400.jpeg,"Want to find out the last information about this group or chat about DevOPS? Many of us hangout in #DevOPS (https://tech404.slack.com/messages/devops) on Tech404 (http://tech404.io/).

A group of Atlanta-area sysadmins, developers, managers and other thought leaders who have recognized the relationship between development and operations is toxic and fundamentally broken.

We'll be talking DevOps, Agile Infrastructure, Agile Operations, or whatever you want to call it (Damon Edwards, from DTO Solutions, explains it best (http://dev2ops.org/blog/2010/2/22/what-is-devops.html)).

Come hang out and talk with folks who deal with the same issues of Systems Administration, Development, Deployment, and Operations that you do.

Talk with your peers that are actively working on building tools, providing services and architecting frameworks to assist and build a DevOps community; and companies who run their organizations using Agile and DevOps concepts.

You can find us in irc.freenode.net #devopsatl

To recruiters, please do not join our group and send messages to our members with job spam. If you would like to network with our members, you are highly encouraged to attend one of our meetings and find out if anyone is pursuing career options.",2215
Atlanta Nodejs Developers,https://www.meetup.com/Atlanta-Nodejs-Developers/,https://secure.meetupstatic.com/photos/event/7/1/6/0/600_451169024.jpeg,"The focus of this group will be to learn node js through a practical approach. We will have speakers followed by ""open spaces"" discussions.

Members may be developers of all skill levels, designers looking to leverave javascript skill sets, architects looking for faster ways to build scalable systems, and engineering managers who want to understand how this technology can be utilized in their company.

And of course anyone interested in changing the world.

We will have a heavy focus on mobile computing devices and other smart devices like TVs with less focus on plain desktop pc.",2196
Atlanta Java Users Group,https://www.meetup.com/atlantajug/,https://secure.meetupstatic.com/photos/event/2/2/f/6/600_466148950.jpeg,"The Atlanta Java Users Group (AJUG) is organized by Java Developers for Java Developers in order to:

Provide a forum for exchanging information and for brainstorming with other developers on how to successfully implement new Java solutions.

Deliver monthly technical presentations on the latest Java/JVM technologies.

Support the needs of both newbies and experts through related Study Groups targeted at Java Certification and Java-OO architectural issues.

Promote the advantages of Java as a development and deployment environment to the business and educational communities.

While our focus is around Java and the JVM, we also cover a wide variety of other related topics such as Agile development methodologies, mobile and client-side software development frameworks and tools.

Our website:  http://www.ajug.org

How to join?

There are currently no dues or other formal requirements for joining AJUG. Simply join this Meetup group and start attending our meetings.

About Our Meetings

AJUG meets generally on the third Tuesday of each month from 7:00 pm to 9:00 pm in the Perimeter area:

Roam Interactive Workspaces
1155 Mount Vernon Highway, Atlanta, GA

Our meetings emphasize high-quality technical content and we encourage interaction among attendees.

From 5:30 pm to 7:00 pm, we usually have a pre-meeting hangout at a local Pub before the meeting starts officially at 7:00 PM:

the Royal Oak Pub next to the venue, so come early, hang out, have some food & drink, then head over to the venue for the main event!

Annual DevNexus Developer Conference

The Atlanta Java Users Group also organizes the annual DevNexus developer conference. For more information see: http://www.devnexus.com",2182
Decatur Makers,https://www.meetup.com/Decatur-Makers/,https://secure.meetupstatic.com/photos/event/f/5/c/600_450783932.jpeg,"Decatur Makers is a welcoming, family-friendly community of inquisitive, motivated people who work together in a safe environment to discover, understand, design and create interesting things.

We also have a google group and are on Facebook, Twitter and Instagram which we use to communicate and discuss activities. More info (and others ways to support us) here (http://decaturmakers.org/).",2168
The Atlanta Blockchain,https://www.meetup.com/The-Atlanta-Blockchain/,https://secure.meetupstatic.com/photos/event/9/4/5/e/600_449617982.jpeg,"The Atlanta Blockchain (TAB). This group focuses on educating the community about decentralized crypto technologies. Many new and exciting things are happening in this space, things are changing quickly, don't be left behind. The future will be encrypted and decentralized and this is the time to learn what the heck is going on. We will focus on many things including: Bitcoin, Blockchain, Ethereum, decentralized storage, alt-coins, mining, programming, blockchain as a database, general education 101's, and more. Please come join us to be part of this technology revolution!

Bitcoin Donation Address:
1MZjTbx1Qho2KY5s7EetLcQBXCyjqySpUh

Hide.Me VPN discount 35%
https://hide.me/en/promotion/anonym/?discount=security35

10% off when using Bitcoin to purchase a haircut at Gino's Classic Barber shop.
http://ginosclassicbarbers.com/

Join the conversation on Slack:

https://blockchainrevolutionslack.herokuapp.com/

Watch us live if you can't make the meetup:

https://www.youtube.com/user/miketwenty1",2152
Atlanta Hadoop Users Group,https://www.meetup.com/Atlanta-Hadoop-Users-Group/,https://secure.meetupstatic.com/photos/event/2/f/4/e/600_456132110.jpeg,"We're a group of Hadoop & Cloud Computing technologists / enthusiasts / curious people who discuss emerging technologies, Hadoop & related software development (HBase, Hypertable, PIG, etc).",1999
PyData Atlanta,https://www.meetup.com/PyData-Atlanta/,https://secure.meetupstatic.com/photos/event/c/9/2/1/600_454611489.jpeg,"PyData-Atlanta is interested in telling insightful stories about data and exploring the methods behind those stories. We advocate for open data ecosystems and workflows that center on open source tools, especially (but not exclusively) based in Python. We are focused on the vertical integration of tools and skills that transform raw data into insights, and we aim to provide a seminar-like learning environment. We host short interactive presentations, audience-contributed lightning talks (please sign up here (https://docs.google.com/forms/d/e/1FAIpQLSeSNEeUWP77Jr8fm7NhOQxu2DPJG1r3kPGmGHX0kDyNJsLKig/viewform)), panel discussions, and informal networking opportunities. Our events can benefit both experienced and beginner data scientists alike.

PyData (http://pydata.org/) is an educational program of NumFOCUS (http://www.numfocus.org/), a 501(c)3 non-profit organization in the United States. PyData provides a forum for the international community of users and developers of data analysis tools to share ideas and learn from each other. The global PyData network promotes discussion of best practices, new approaches, and emerging technologies for data management, processing, analytics, and visualization. PyData communities approach data science using many languages, including (but not limited to) Python, Julia, and R.

The PyData Code of Conduct governs this meetup. ( http://pydata.org/code-of-conduct.html ) To discuss any issues or concerns relating to the code of conduct or the behavior of anyone at a PyData meetup, please contact NumFOCUS Executive Director Leah Silen (+1 512-222-5449; leah@numfocus.org ) or the group organizer, Jeremy Jacobson.",1948
Atlanta Bloggers,https://www.meetup.com/atlantabloggers/,https://secure.meetupstatic.com/photos/event/c/c/1/b/600_28972251.jpeg,"Meet other bloggers to talk about blogging, internet marketing, social media, tips and techniques, practices, SEO, writing and general support. All blog topics are welcome.",1922
ATLANTA MINORITIES IN TECHNOLOGY,https://www.meetup.com/ATLANTA-MINORITIES-IN-TECHNOLOGY/,https://secure.meetupstatic.com/photos/event/2/d/a/6/600_438851686.jpeg,"http://photos3.meetupstatic.com/photos/event/3/7/c/f/600_434954287.jpeg

Let's get together to do what we know we need to do, build our network so that we can learn, grow, earn, and live ABUNDANTLY through the opportunities that technology can provide. We are about leveraging technology to bring our people together to explore ALL possibilities: startups, entrepreneurship, professional development ... we know Minorities Do Code, innovate, create, we are about building tomorrow, and having serious FUN doing it!",1858
